epoch,train_loss,train_acc1,test_loss,test_acc1,lr,epoch_time_s
1,1.9451381276815365,30.154246794871796,1.7196060064315797,43.81,0.020000000000000004,68.0226936340332
2,1.578188555057232,50.82532051282051,1.392648822402954,60.37,0.04000000000000001,57.10088324546814
3,1.3570466062961482,61.87900641025641,1.2191381114959716,68.28,0.06,56.99929976463318
4,1.2125302718235895,68.72796474358974,1.2672410703659058,66.67,0.08000000000000002,57.20854878425598
5,1.1197795255061909,72.97275641025641,1.0725985055923462,75.63,0.1,57.189701318740845
6,1.0663726595731882,75.37860576923077,1.1524606464385987,71.63,0.09998826384544374,57.242128133773804
7,1.0285173706519297,77.02524038461539,1.0380865530014038,76.72,0.09995306432247163,57.41361451148987
8,1.0062052057339594,77.9667467948718,1.002073964691162,78.1,0.09989441633224488,57.30186462402344
9,0.9852472212070074,78.83213141025641,0.9962759222984314,78.16,0.09981234967708588,57.44272184371948
10,0.9775227999075865,79.05448717948718,0.9449470996856689,80.51,0.09970689713954926,57.294435262680054
11,0.9741178963428888,79.52724358974359,0.9910973731994629,78.16,0.09957811534404755,31.986706733703613
12,0.9649519041562692,79.6113782051282,1.043653773880005,76.02,0.09942605793476106,29.960599899291992
13,0.9693281911886655,79.4931891025641,0.9699788938522339,79.24,0.09925080239772797,30.468188524246216
14,0.9678879181543986,79.7636217948718,1.0638867139816284,74.58,0.09905242919921875,30.34591770172119
15,0.9649066853217589,79.66346153846153,1.075434886932373,74.9,0.09883102774620056,30.16125750541687
16,0.9670692242108858,79.6514423076923,1.1163256212234498,73.54,0.09858670532703401,29.824591398239136
17,0.9599738607039818,80.02804487179488,1.0571275112152099,76.35,0.09831957817077637,33.421624422073364
18,0.9636971669319349,79.82171474358974,1.0813554891586303,73.96,0.09802976846694947,30.097869634628296
19,0.9588813926929083,80.06410256410257,1.0023627719879151,77.71,0.09771741330623628,29.817753076553345
20,0.9584586653953944,79.95192307692308,1.1140001710891723,72.69,0.09738265872001649,29.8730251789093
21,0.9596459326071617,79.98998397435898,0.9103794138908387,81.98,0.09702566266059875,33.927066802978516
22,0.9574302656528277,80.09615384615384,1.0243184005737305,76.99,0.09664659202098846,29.942331314086914
23,0.9489119875125396,80.48878205128206,0.9533978050231934,80.46,0.09624562859535218,29.913501262664795
24,0.9559199094772339,80.08213141025641,0.985477075958252,79.24,0.09582295417785645,56.74069619178772
25,0.9521961740958385,80.2363782051282,1.0455632123947143,75.57,0.09537877142429352,56.62404799461365
26,0.9488522644226368,80.4286858974359,1.1789050317764282,71.85,0.09491328597068788,56.864389419555664
27,0.945702657638452,80.41466346153847,1.0119547075271607,77.96,0.0944267213344574,56.33418679237366
28,0.9470124046007792,80.51682692307692,1.058193374824524,75.5,0.09391930103302003,56.32732439041138
29,0.9454869354382539,80.5068108974359,1.0530255715370178,75.84,0.09339126348495484,56.40706944465637
30,0.9440712152383266,80.72716346153847,1.0186007322311401,77.7,0.09284285902976991,56.40953803062439
31,0.9464947020396208,80.55488782051282,0.9520649181365967,80.34,0.09227434396743775,56.23140263557434
32,0.9405339869169088,80.82532051282051,1.0374223969459533,76.1,0.09168598353862763,56.580328702926636
33,0.9429135938485463,80.5829326923077,1.005495571708679,77.91,0.09107805788516998,56.49643349647522
34,0.9440538860284365,80.63902243589743,1.0341407642364502,77.17,0.09045085012912751,56.2406005859375
35,0.9481253587282621,80.65304487179488,0.9911654666900634,78.55,0.08980465531349183,56.15028691291809
36,0.9430542481251252,80.55288461538461,0.9824212081909179,78.85,0.08913977146148683,56.17208933830261
37,0.9392777528518286,80.88341346153847,0.936179499053955,80.93,0.08845652043819428,55.962791204452515
38,0.9375807023965396,80.88141025641026,0.9784845705032349,79.17,0.08775521516799928,55.8058717250824
39,0.9338370138253921,81.24399038461539,1.0196091295242309,77.23,0.0870361864566803,55.78951025009155
40,0.9437266496511606,80.65504807692308,0.9521253559112549,80.25,0.0862997740507126,56.44312381744385
41,0.9354280618520884,81.14383012820512,0.959935401916504,80.16,0.08554632365703584,60.66541838645935
42,0.935395564024265,81.02964743589743,0.9518647761344909,79.97,0.08477618694305421,60.71331548690796
43,0.934726796241907,80.8994391025641,1.1155053599357605,74.31,0.08398972451686859,60.49487566947937
44,0.9337506711483001,81.0536858974359,1.0204509496688843,77.33,0.08318730890750886,59.59261131286621
45,0.9330567231545082,81.02564102564102,1.0351636578559875,76.44,0.08236931562423706,59.082998275756836
46,0.9280491121304341,81.41225961538461,1.0781371168136598,75.18,0.0815361261367798,58.79907464981079
47,0.933957497890179,81.23597756410257,0.9353189336776734,80.85,0.08068813383579254,59.15965294837952
48,0.9309712822620685,81.25801282051282,1.0306671983718871,77.0,0.07982573509216309,59.446101903915405
49,0.933996064387835,81.1698717948718,1.0339104090690612,76.89,0.07894934117794038,59.524394512176514
